rnbqkbnr/pp1ppppp/2p5/8/6P1/2P5/PP1PPP1P/RNBQKBNR b KQkq - 0 1 ;D1 21 ;D2 463 ;D3 11138 ;D4 274234 ;D5 7290026 ;D6 195464529
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8902 ;D4 197281 ;D5 4865609 ;D6 119060324
rnb1kbnr/ppq1pppp/2pp4/8/6P1/2P5/PP1PPPBP/RNBQK1NR w KQkq - 0 1 ;D1 27 ;D2 734 ;D3 20553 ;D4 579004 ;D5 16988496 ;D6 494216738
rnb1kbnr/p1q1pppp/1ppp4/8/4B1P1/2P5/PPQPPP1P/RNB1K1NR b KQkq - 0 1 ;D1 28 ;D2 837 ;D3 22536 ;D4 699777 ;D5 19118920 ;D6 611385160
rn2kbnr/p1q1ppp1/1ppp3p/8/4B1b1/2P4P/PPQPPP2/RNB1K1NR w KQkq - 0 1 ;D1 29 ;D2 827 ;D3 24815 ;D4 701084 ;D5 21819626 ;D6 622445426
rn1qkbnr/p3ppp1/1ppp2Qp/3B4/6b1/2P4P/PP1PPP2/RNB1K1NR b KQkq - 0 1 ;D1 25 ;D2 976 ;D3 23465 ;D4 872551 ;D5 21984216 ;D6 798306998
rnkq1bnr/p3ppp1/1ppp3p/3B4/6b1/2PQ3P/PP1PPP2/RNB1K1NR w KQ - 0 1 ;D1 36 ;D2 957 ;D3 33542 ;D4 891412 ;D5 31155934 ;D6 840073244
rnkq1bnr/p3ppp1/1ppp3p/5b2/8/2PQ3P/PP1PPPB1/RNB1K1NR b KQ - 0 1 ;D1 29 ;D2 927 ;D3 25822 ;D4 832461 ;D5 23480361 ;D6 768311001
rn1q1bnr/p2kppp1/2pp3p/1p3b2/1P6/2PQ3P/P2PPPB1/RNB1K1NR w KQ - 0 1 ;D1 31 ;D2 834 ;D3 25926 ;D4 715605 ;D5 22575950 ;D6 635681844
rn1q1bnr/3kppp1/p1pp3p/1p3b2/1P6/2P2N1P/P1QPPPB1/RNB1K2R b KQ - 0 1 ;D1 29 ;D2 900 ;D3 25008 ;D4 781431 ;D5 22075119 ;D6 699176752
rn1q1bnr/3kppp1/2pp3p/pp6/1P2b3/2PQ1N1P/P2PPPB1/RNB1K2R w KQ - 0 1 ;D1 30 ;D2 856 ;D3 26922 ;D4 784949 ;D5 25488551 ;D6 760364787
rn1q1bnr/3kpp2/2pp2pp/pp6/1P2b2N/2PQ3P/P2PPP2/RNB1KB1R b KQ - 0 1 ;D1 30 ;D2 839 ;D3 25287 ;D4 743330 ;D5 22844888 ;D6 698863604
rnkq1bnr/4pp2/2pQ2pp/pp6/1P5N/2P4P/P2PPP2/RNB1KB1b w Q - 0 1 ;D1 36 ;D2 857 ;D3 29373 ;D4 807330 ;D5 26996998 ;D6 806839269
rnk2bnr/2q1pp2/2pQ2pp/pp6/1P5N/2PPP2P/P4P2/RNB1KB1b b Q - 0 1 ;D1 28 ;D2 1002 ;D3 27640 ;D4 960905 ;D5 28434554 ;D6 970730912
rn3bnr/1kq1pp2/2pQ2Np/pp6/1P6/2PPPb1P/P4P2/RNB1KB2 w Q - 0 1 ;D1 35 ;D2 1122 ;D3 38831 ;D4 1259372 ;D5 43220869 ;D6 1429113787
rn3bnr/1kq1p3/2pQ2pp/Pp6/8/N1PPPb1P/P4P2/R1B1KB2 b Q - 0 1 ;D1 32 ;D2 983 ;D3 29665 ;D4 924296 ;D5 28997034 ;D6 911965560
rn3b1r/1kq1p3/2pQ1npp/Pp6/4b3/2PPP2P/P4P2/RNB1KB2 w Q - 0 1 ;D1 35 ;D2 1196 ;D3 38978 ;D4 1342725 ;D5 42582894 ;D6 1489481053
